SalesKey,DateKey,SalesQuantity,SaleAmount,ProfitAmount,Region,States,ProductName,ProductCategoryName,ProductSubcategoryName,Feedback
194,2023-02-02,1,130.81,100.0,95200,SARCELLES,DIVERS,DIVERS,1 vitrage avant citroen  C3 -2016 ,6
195,2023-04-19,1,166.67,100.0,93380,PIERREFITTE SUR SEINE,DIVERS,DIVERS,kite de distribution,6
198,2023-10-30,1,25.97,100.0,93170,BAGNOLET,DIVERS,DIVERS,TEMBOURG AR,3
200,2018-04-04,1,72.92,100.0,95200,SARCELLES,DIVERS,DIVERS,VITRAGE AVANT CLIO III AVEC CAP ,3
202,2018-11-27,1,195.03,0.0,93380,PIERREFITTE SUR SEINE,DIVERS,MERCEDES,PARE-BRISE,7
203,2019-04-13,1,20.83,0.0,75015,PARIS 15EME ARRONDISSEMENT,DIVERS,DIVERS,[8583RGSV5FD] GLACE DESCENDANTE AVANT DROIT TEINTE VERT VOLKSWAGEN GOLF PLUS 05-14,2
204,2019-06-10,1,48.33,100.0,77230,MOUSSY LE NEUF,DIVERS,DIVERS,LUNETTE VERT 106 BRANCHEMENT HAUT95-96  6520BGNH1U,4
204,2019-06-10,1,187.5,100.0,77230,MOUSSY LE NEUF,DIVERS,DIVERS,VITRE ARD,4
205,2019-07-18,1,55.82,0.0,93290,TREMBLAY EN FRANCE,DIVERS,PILKINGTON,Enjoliveur pare-brise,9
206,2019-09-10,1,65.0,100.0,95200,SARCELLES,DIVERS,DIVERS,RENAULT MASTER PB III,3
207,2019-11-06,1,187.5,100.0,9514,GARGE LES GONESSES,DIVERS,DIVERS,4 pneus  215/60/16 ,6
207,2019-11-06,1,222.22,100.0,9514,GARGE LES GONESSES,DIVERS,DIVERS,1 VITRE AVANT MASTER3,6
